id,schoolId,name,field,description
tt-cs,taltech,Tarkvaratehnika,tech,"Veebi- ja mobiilirakenduste, süsteemide ehitamine."
tt-cyber,taltech,Küberturvalisus,tech,Süsteemide ja andmete kaitse rünnakute eest.
tt-ai,taltech,Andmeteadus ja tehisintellekt,tech,Andmete analüüs ja masinõppe mudelid.
tt-civil,taltech,Ehitusinseneeria,science,"Hoonete, sildade ja taristu projekteerimine."
tt-mech,taltech,Mehhatroonika,tech,"Mehaanika, elektroonika ja tarkvara koos."
tt-bus,taltech,Ärindus ja juhtimine,business,"Ettevõtete juhtimine, finants ja strateegia."
tt-energy,taltech,Energiatehnoloogia,science,Taastuvenergia ja energiasüsteemid.
tt-arch,taltech,Arhitektuur ja linnaplaneerimine,arts,Hoonete ja linnaruumi kujundamine.
ut-med,ut,Arstiteadus,health,"Saa arstiks, 6-aastane õpe."
ut-dent,ut,Hambaarstiteadus,health,Hambaarsti haridus.
ut-pharm,ut,Proviisor,health,Apteegi- ja ravimiala spetsialist.
ut-law,ut,Õigusteadus,social,Juristi ja kohtuniku ettevalmistus.
ut-psych,ut,Psühholoogia,social,Inimese psüühika ja käitumise uurimine.
ut-bio,ut,Bioloogia,science,Eluprotsesside ja ökosüsteemide uurimine.
ut-cs,ut,Informaatika,tech,Programmeerimine ja arvutiteadus.
ut-econ,ut,Majandusteadus,business,Majanduse ja andmeanalüüsi õpe.
ut-teach,ut,Klassiõpetaja,education,Algkooli õpetaja ettevalmistus.
ut-journ,ut,Ajakirjandus ja kommunikatsioon,social,Meedia ja avalik suhtlus.
emu-vet,emu,Veterinaarmeditsiin,health,Loomaarstiks õppimine.
emu-forest,emu,Metsandus,agri,Metsade hoid ja majandamine.
emu-agri,emu,Põllumajandus,agri,Kaasaegne taimekasvatus ja loomakasvatus.
emu-food,emu,Toiduainete tehnoloogia,agri,Toidu tootmine ja ohutus.
emu-env,emu,Keskkonnateadus,science,Keskkonna kaitse ja säästev areng.
emu-land,emu,Maastikuarhitektuur,arts,Välisruumi ja parkide kujundamine.
eka-arch,eka,Arhitektuur ja linnaplaneerimine,arts,Hoonete ja ruumi disain.
eka-graph,eka,Graafiline disain,arts,Visuaalne identiteet ja tüpograafia.
eka-anim,eka,Animatsioon,arts,Animafilmide ja visuaalide loomine.
eka-fashion,eka,Moedisain,arts,Riiete ja kollektsioonide loomine.
eka-prod,eka,Tootedisain,arts,Esemete ja toodete kujundamine.
eka-art,eka,Vabad kunstid,arts,"Maal, skulptuur, fotograafia."
ema-mus,ema,Muusika esitamine,arts,Klassikaline ja kaasaegne muusika.
ema-comp,ema,Helilooming,arts,Muusika loomine ja arranžeerimine.
ema-act,ema,Lavakunst (näitlejatöö),arts,Professionaalne näitlejakoolitus.
ema-cult,ema,Kultuurikorraldus,business,Kultuuriürituste juhtimine.
tlu-teach,tlu,Õpetajakoolitus,education,Aine- ja klassiõpetaja.
tlu-media,tlu,Digimeedia ja interaktsioonidisain,arts,Digitaalne sisuloome ja kasutajaliidesed.
tlu-soc,tlu,Sotsiaaltöö,social,Inimeste abistamine sotsiaaltöö kaudu.
tlu-psych,tlu,Psühholoogia,social,Käitumise ja vaimu uurimine.
tlu-history,tlu,Ajalugu,social,Mineviku uurimine ja tõlgendamine.
tlu-film,tlu,Kino ja meedia,arts,Filmilavastus ja meediatootmine.
ttk-log,ttk,Logistika,transport,Tarneahel ja transpordijuhtimine.
ttk-auto,ttk,Autotehnika,tech,Sõidukite tehnika ja elektroonika.
ttk-build,ttk,Hooneehitus,trades,Ehitusobjektide juhtimine.
ttk-cloth,ttk,Rõivadisain ja tehnoloogia,arts,Moedisaini praktiline õpe.
ttk-rdwy,ttk,Teedeehitus,trades,Teede ja taristu projekteerimine.
la-pilot,lcc,Õhusõiduki juht (piloot),transport,Lennukite ja kopterite juhtimine.
la-atc,lcc,Lennuliiklusteenindus,transport,Lennujuhi amet.
la-mech,lcc,Õhusõidukite hooldus,tech,Lennukite tehnik.
smk-nurse,smk,Õde,health,Õe kutseharidus haiglatöö jaoks.
smk-midw,smk,Ämmaemand,health,Sünnituste ja naistetervise spetsialist.
smk-physio,smk,Füsioterapeut,health,Kehalise taastusravi spetsialist.
smk-radio,smk,Radioloogiatehnik,health,Pildidiagnostika spetsialist.
sk-pol,sks,Politseiametnik,security,Patrulli- ja kriminaalpolitsei töö.
sk-rescue,sks,Päästja,security,"Tulekahjud, õnnetused, päästetööd."
sk-border,sks,Piirivalvur,security,Piiri turvalisus ja kontroll.
sk-cust,sks,Maksu- ja tolliametnik,security,Maksunduse ja piiril toimuva järelevalve.
eek-mark,eek,Turundus ja kommunikatsioon,business,Turundusstrateegia ja brändijuhtimine.
eek-it,eek,IT-süsteemide arendus,tech,Ärirakenduste arendus.
eek-bus,eek,Ettevõtlus ja äriinfotehnoloogia,business,Oma ettevõtte loomine.
tupk-biz,ut-parnu,Ettevõtlus ja projektijuhtimine,business,Äriprotsesside ja projektide juhtimine.
tupk-tour,ut-parnu,Turism ja hotelliettevõtlus,service,Majutuse ja teeninduse juhtimine.
tupk-soc,ut-parnu,Sotsiaaltöö ja rehabilitatsioon,social,Inimeste toetamine ja kogukonnatöö.
